"URL","ASIN","Title","Brand","Fulfillment","Category","BSR","Subcategory","Price","Price Trend (90 days) (%)","Parent Level Sales","ASIN Sales","Sales Trend (90 days) (%)","Parent Level Revenue","ASIN Revenue","Review Count","Reviews Rating","Seller","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B09SPFJX79","B09SPFJX79","KARUIZI Makeup Kit All-in-one Makeup Gift Set for Women Full Kit, Eyeshadow Palette, Lip Gloss Set, Lipstick, Blush, Foundation, Concealer, Mascara, Eyebrow Pencil,Include Brush Set(KIT019)","KARUIZI","FBA","Beauty & Personal Care",20818,"Makeup Sets",33.96,-11,753,584,,24576.29,19856.79,264,4.2,"KARUIZI",1,0,"N/A","Large Standard-Size",2.44,6.02,8.23,1.3,60.86,167.9,"05/31/2024",33,8,2,2.85
"https://amazon.com/dp/B09Y1BJZ6F","B09Y1BJZ6F","FM Radio Kit, ICSTATION Soldering Projects Radio with LED Flashing Lights FM 87-108MHz Soldering Practice Kit DIY Radio Kit LCD1602 Display for Learning Teaching STEM Education","IS","FBA","Industrial & Scientific",4990,"Soldering Stations",29.99,-5,425,425,697,12338.18,12338.18,240,3.9,"icstation",1,2388,"N/A","Large Standard-Size",1.57,4.02,7.13,0.66,22.66,62.5,"10/31/2024",31,8,0,1.77
"https://amazon.com/dp/B09QKS7C7S","B09QKS7C7S","Pekky 13 L Food Service Bus Tubs with Lids, 3 Packs Commercial Tote Box, Black","Pekky","FBA","Industrial & Scientific",13295,"Bus Tubs",30.99,-6,331,330,66,10248.37,10244.93,71,4.1,"Pekkyly",1,2146,134,"Large Standard-Size",6.73,12.83,17.76,4.59,772.08,2129.87,"10/31/2024",34,7,0,4.66
"https://amazon.com/dp/B09W7VPQDV","B09W7VPQDV","LAURA GELLER NEW YORK Baked Blurring + Setting Powder, Translucent Makeup Setting Powder For Soft-Focus Finish, Minimize Fine Lines and Pores, Light/Medium","LAURA GELLER NEW YORK","FBA","Beauty & Personal Care",16069,"Powder",30,-28,3087,970,314,62533.17,19897.02,401,4.2,"Laura Geller New York",2,15291,325,"Large Standard-Size",1.61,3.82,5.51,0.15,17.11,47.19,"10/31/2024",32,7,3,7.7
"https://amazon.com/dp/B001ED1KQU","B001ED1KQU","Herbs Etc. Lymphatonic™: 60-Count Softgels","Herbs Etc.","FBA","Health & Household",60142,"Echinacea",30.58,-6,522,522,-4,15970.73,15970.73,339,4.2,"Pattern Products",1,6145,-21,"Large Standard-Size",1.77,1.81,4.09,0.13,6.6,18.2,"02/28/2023",195,4,0,1.54
"https://amazon.com/dp/B09MV7MB8L","B09MV7MB8L","BOUNCE.ME Curling Gel Spray by DESIGNME | Frizz-Free Curl Defining Gel - Refresh Curls, Waves, Coils | Non-Crunchy, Non-Sticky Formula - Climate Control Styling, 7.77Oz","Design.Me","FBA","Beauty & Personal Care",53589,"Gels",29,-6,322,322,-14,9343.43,9343.43,201,4.2,"DesignME",1,3599,61,"Large Standard-Size",1.97,2.28,8.11,0.62,18.34,50.59,"09/30/2024",36,9,0,1.6
"https://amazon.com/dp/B099YL1Z9F","B099YL1Z9F","JOYIN 12 Pcs Christmas Stackable Gift Boxes Set with Lids, Xmas Nesting Box for Gift Wrapping Party Decor, Christmas Decorative Stacking Boxes with 4 Designs (1 Stanta,1 Snowman, 2 Elf Charcter)","JOYIN","FBA","Health & Household",42790,"Gift Boxes",29.99,119,452,452,,12918.23,12918.23,186,3.9,"JoyinDirect",1,694,-35,"Large Standard-Size",2.99,13.27,13.98,5.58,279.27,770.4,"10/31/2023",38,8,0,2.43
"https://amazon.com/dp/B0994M72TL","B0994M72TL","Mercury Cracked Glass Globe Lights Home Decorative Sphere Night Light Battery Operated Ball lamp for Christmas Living Room Wedding Decor Birthday Present Warm White (2)","IdealXmas Glass","FBA","Tools & Home Improvement",30618,"Night Lights",28.99,-27,346,346,,10087.07,10087.07,93,4.2,"acadai",1,528,74,"Large Standard-Size",7,7,12.25,2.65,302.21,833.68,"10/31/2024",40,7,0,3.72
"https://amazon.com/dp/B0999GTXCL","B0999GTXCL","Vlovelife White Christmas Tree Skirt 60 Inches Large, Faux Fur Christmas Tree Skirt Large, Plush Christmas Tree Mat for Christmas Decorations New Year Holiday Decor","Vlovelife","FBA","Home & Kitchen",110606,"Tree Skirts",27.99,8,431,430,,12158.01,12153.6,62,4,"vlovelife",1,409,-28,"Large Standard-Size",4.13,10.08,11.73,2.36,245.86,678.23,"10/31/2023",40,5,0,7.18
"https://amazon.com/dp/B09F17JRHW","B09F17JRHW","Special Supplies Vibrating Ball Pillow Sensory Pressure Activated for Kids and Adults, Plush Minky Soft Cover with Textured Therapy Stimulation Bumps, Blue","Special Supplies","FBA","Health & Household",25438,"Sensory Motor Aids",34.99,8,786,570,222,26734.4,19387.96,248,4.2,"Special Supplies",1,5706,82,"Large Standard-Size",3.58,11.5,13.98,1.63,289.78,799.38,"11/30/2023",39,9,2,3.17
"https://amazon.com/dp/B09B4HNJW3","B09B4HNJW3","Joiedomi C9 Christmas Pathway Lights, 30.75ft 24 Bulbs Outdoor Christmas Decorations Lights Warm White for Holiday Xmas Waterproof Outside Yard Garden, Party, Walkway Decor","Joiedomi","FBA","Tools & Home Improvement",6199,"Path Lights",27.99,109,1445,478,,32134.7,13012.56,359,3.9,"JoyinDirect",1,0,"N/A","Large Standard-Size",4.96,7.01,9.41,1.92,164.73,454.42,"10/31/2024",40,9,3,4.03
"https://amazon.com/dp/B09FQ31X7G","B09FQ31X7G","DearHouse 33Ft Christmas Garland Decorations with 100 LED Light, Green Pine Garland Holiday Decor for Outdoor or Indoor Home Garden Artificial Greenery Garland, or Holiday Party Decoration","DearHouse","FBA","Home & Kitchen",16843,"Garlands",23.99,-25,928,927,,20998.12,20988.73,151,3.4,"dearhouse",1,1433,-35,"Large Standard-Size",5.16,7.68,12.2,1.59,243.41,671.49,"10/31/2023",38,8,0,6.14
"https://amazon.com/dp/B09DL6MLFL","B09DL6MLFL","Hausse 9 FT Pre-lit Christmas Garland, Lighted Artificial Xmas Poinsettia Garlands Decorations Greenery with Ornaments, LED Lights with Timer, Light Up for Indoor Outdoor Home Gate Garden Decor","Hausse","FBA","Home & Kitchen",55785,"Garlands",29.99,-3,533,532,,16650.32,16648.44,217,4.1,"MOUNT VINSON LLC",1,664,-59,"Large Standard-Size",7.4,10.04,17.17,2.98,642.26,1771.75,"10/31/2023",39,7,0,2.45
"https://amazon.com/dp/B09L36VGBX","B09L36VGBX","Embryolisse Radiant Eye Stick. Under Eye Makeup Primer to Refresh and Reduce Dark Circles and Puffiness. Fragrance-Free, 0.15 Oz","Embryolisse","FBA","Beauty & Personal Care",39909,"Creams",25,-15,666,665,-13,16640.41,16640.26,242,4.1,"Embryolisse",1,5837,107,"Large Standard-Size",1.3,1.73,3.7,0.07,4.19,11.56,"09/30/2024",35,6,0,2.75
